bank,date,time_local,utc
ECB,2016-09-08,13:45,2016-09-08 11:45
ECB,2016-10-20,13:45,2016-10-20 11:45
ECB,2016-12-08,13:45,2016-12-08 12:45
ECB,2017-01-19,13:45,2017-01-19 12:45
ECB,2017-03-09,13:45,2017-03-09 12:45
ECB,2017-04-27,13:45,2017-04-27 11:45
ECB,2017-06-08,13:45,2017-06-08 11:45
ECB,2017-07-20,13:45,2017-07-20 11:45
ECB,2017-09-07,13:45,2017-09-07 11:45
ECB,2017-10-26,13:45,2017-10-26 11:45
ECB,2017-12-14,13:45,2017-12-14 12:45
ECB,2018-01-25,13:45,2018-01-25 12:45
ECB,2018-03-08,13:45,2018-03-08 12:45
ECB,2018-04-26,13:45,2018-04-26 11:45
ECB,2018-06-14,13:45,2018-06-14 11:45
ECB,2018-07-26,13:45,2018-07-26 11:45
ECB,2018-09-13,13:45,2018-09-13 11:45
ECB,2018-10-25,13:45,2018-10-25 11:45
ECB,2018-12-13,13:45,2018-12-13 12:45
ECB,2019-01-24,13:45,2019-01-24 12:45
ECB,2019-03-07,13:45,2019-03-07 12:45
ECB,2019-04-10,13:45,2019-04-10 11:45
ECB,2019-06-06,13:45,2019-06-06 11:45
ECB,2019-07-25,13:45,2019-07-25 11:45
ECB,2019-09-12,13:45,2019-09-12 11:45
ECB,2019-10-24,13:45,2019-10-24 11:45
ECB,2019-12-12,13:45,2019-12-12 12:45
ECB,2020-01-23,13:45,2020-01-23 12:45
ECB,2020-03-12,13:45,2020-03-12 12:45
ECB,2020-04-30,13:45,2020-04-30 11:45
ECB,2020-06-04,13:45,2020-06-04 11:45
ECB,2020-07-16,13:45,2020-07-16 11:45
ECB,2020-09-10,13:45,2020-09-10 11:45
ECB,2020-10-29,13:45,2020-10-29 12:45
ECB,2020-12-10,13:45,2020-12-10 12:45
ECB,2021-01-21,13:45,2021-01-21 12:45
ECB,2021-03-11,13:45,2021-03-11 12:45
ECB,2021-04-22,13:45,2021-04-22 11:45
ECB,2021-06-10,13:45,2021-06-10 11:45
ECB,2021-07-22,13:45,2021-07-22 11:45
ECB,2021-09-09,13:45,2021-09-09 11:45
ECB,2021-10-28,13:45,2021-10-28 11:45
ECB,2021-12-16,13:45,2021-12-16 12:45
ECB,2022-02-03,13:45,2022-02-03 12:45
ECB,2022-03-10,13:45,2022-03-10 12:45
ECB,2022-04-14,13:45,2022-04-14 11:45
ECB,2022-06-09,13:45,2022-06-09 11:45
ECB,2022-07-21,14:15,2022-07-21 12:15
ECB,2022-09-08,14:15,2022-09-08 12:15
ECB,2022-10-27,14:15,2022-10-27 12:15
ECB,2022-12-15,14:15,2022-12-15 13:15
ECB,2023-02-02,14:15,2023-02-02 13:15
ECB,2023-03-16,14:15,2023-03-16 13:15
ECB,2023-05-04,14:15,2023-05-04 12:15
ECB,2023-06-15,14:15,2023-06-15 12:15
ECB,2023-07-27,14:15,2023-07-27 12:15
ECB,2023-09-14,14:15,2023-09-14 12:15
ECB,2023-10-26,14:15,2023-10-26 12:15
ECB,2023-12-14,14:15,2023-12-14 13:15
ECB,2024-01-25,14:15,2024-01-25 13:15
ECB,2024-03-07,14:15,2024-03-07 13:15
ECB,2024-04-11,14:15,2024-04-11 12:15
ECB,2024-06-06,14:15,2024-06-06 12:15
ECB,2024-07-18,14:15,2024-07-18 12:15
ECB,2024-09-12,14:15,2024-09-12 12:15
ECB,2024-10-17,14:15,2024-10-17 12:15
ECB,2024-12-12,14:15,2024-12-12 13:15
ECB,2025-01-30,14:15,2025-01-30 13:15
ECB,2025-03-06,14:15,2025-03-06 13:15
ECB,2025-04-17,14:15,2025-04-17 12:15
ECB,2025-06-05,14:15,2025-06-05 12:15
ECB,2025-07-24,14:15,2025-07-24 12:15
ECB,2025-09-11,14:15,2025-09-11 12:15
ECB,2025-10-30,14:15,2025-10-30 13:15
ECB,2025-12-18,14:15,2025-12-18 13:15
ECB,2026-02-05,14:15,2026-02-05 13:15
ECB,2026-03-19,14:15,2026-03-19 13:15
ECB,2026-04-30,14:15,2026-04-30 12:15
ECB,2026-06-11,14:15,2026-06-11 12:15
ECB,2026-07-23,14:15,2026-07-23 12:15
ECB,2026-09-10,14:15,2026-09-10 12:15
BOE,2016-01-14,12:00,2016-01-14 12:00
BOE,2016-02-04,12:00,2016-02-04 12:00
BOE,2016-03-17,12:00,2016-03-17 12:00
BOE,2016-04-14,12:00,2016-04-14 11:00
BOE,2016-05-12,12:00,2016-05-12 11:00
BOE,2016-06-16,12:00,2016-06-16 11:00
BOE,2016-07-14,12:00,2016-07-14 11:00
BOE,2016-08-04,12:00,2016-08-04 11:00
BOE,2016-09-15,12:00,2016-09-15 11:00
BOE,2016-11-03,12:00,2016-11-03 12:00
BOE,2016-12-15,12:00,2016-12-15 12:00
BOE,2017-02-02,12:00,2017-02-02 12:00
BOE,2017-03-16,12:00,2017-03-16 12:00
BOE,2017-05-11,12:00,2017-05-11 11:00
BOE,2017-06-15,12:00,2017-06-15 11:00
BOE,2017-08-03,12:00,2017-08-03 11:00
BOE,2017-09-14,12:00,2017-09-14 11:00
BOE,2017-11-02,12:00,2017-11-02 12:00
BOE,2017-12-14,12:00,2017-12-14 12:00
BOE,2018-02-08,12:00,2018-02-08 12:00
BOE,2018-03-22,12:00,2018-03-22 12:00
BOE,2018-05-10,12:00,2018-05-10 11:00
BOE,2018-06-21,12:00,2018-06-21 11:00
BOE,2018-08-02,12:00,2018-08-02 11:00
BOE,2018-09-13,12:00,2018-09-13 11:00
BOE,2018-11-01,12:00,2018-11-01 12:00
BOE,2018-12-20,12:00,2018-12-20 12:00
BOE,2019-02-07,12:00,2019-02-07 12:00
BOE,2019-03-21,12:00,2019-03-21 12:00
BOE,2019-05-02,12:00,2019-05-02 11:00
BOE,2019-06-20,12:00,2019-06-20 11:00
BOE,2019-08-01,12:00,2019-08-01 11:00
BOE,2019-09-19,12:00,2019-09-19 11:00
BOE,2019-11-07,12:00,2019-11-07 12:00
BOE,2019-12-19,12:00,2019-12-19 12:00
BOE,2020-01-30,12:00,2020-01-30 12:00
BOE,2020-03-26,12:00,2020-03-26 12:00
BOE,2020-05-07,12:00,2020-05-07 11:00
BOE,2020-06-18,12:00,2020-06-18 11:00
BOE,2020-08-06,12:00,2020-08-06 11:00
BOE,2020-09-17,12:00,2020-09-17 11:00
BOE,2020-11-05,12:00,2020-11-05 12:00
BOE,2020-12-17,12:00,2020-12-17 12:00
BOE,2021-02-04,12:00,2021-02-04 12:00
BOE,2021-03-18,12:00,2021-03-18 12:00
BOE,2021-05-06,12:00,2021-05-06 11:00
BOE,2021-06-24,12:00,2021-06-24 11:00
BOE,2021-08-05,12:00,2021-08-05 11:00
BOE,2021-09-23,12:00,2021-09-23 11:00
BOE,2021-11-04,12:00,2021-11-04 12:00
BOE,2021-12-16,12:00,2021-12-16 12:00
BOE,2022-02-03,12:00,2022-02-03 12:00
BOE,2022-03-17,12:00,2022-03-17 12:00
BOE,2022-05-05,12:00,2022-05-05 11:00
BOE,2022-06-16,12:00,2022-06-16 11:00
BOE,2022-08-04,12:00,2022-08-04 11:00
BOE,2022-09-22,12:00,2022-09-22 11:00
BOE,2022-11-03,12:00,2022-11-03 12:00
BOE,2022-12-15,12:00,2022-12-15 12:00
BOE,2023-02-02,12:00,2023-02-02 12:00
BOE,2023-03-23,12:00,2023-03-23 12:00
BOE,2023-05-11,12:00,2023-05-11 11:00
BOE,2023-06-22,12:00,2023-06-22 11:00
BOE,2023-08-03,12:00,2023-08-03 11:00
BOE,2023-09-21,12:00,2023-09-21 11:00
BOE,2023-11-02,12:00,2023-11-02 12:00
BOE,2023-12-14,12:00,2023-12-14 12:00
BOE,2024-02-01,12:00,2024-02-01 12:00
BOE,2024-03-21,12:00,2024-03-21 12:00
BOE,2024-05-09,12:00,2024-05-09 11:00
BOE,2024-06-20,12:00,2024-06-20 11:00
BOE,2024-08-01,12:00,2024-08-01 11:00
BOE,2024-09-19,12:00,2024-09-19 11:00
BOE,2024-11-07,12:00,2024-11-07 12:00
BOE,2024-12-19,12:00,2024-12-19 12:00
BOE,2025-02-06,12:00,2025-02-06 12:00
BOE,2025-03-20,12:00,2025-03-20 12:00
BOE,2025-05-08,12:00,2025-05-08 11:00
BOE,2025-06-19,12:00,2025-06-19 11:00
BOE,2025-08-07,12:00,2025-08-07 11:00
BOE,2025-09-18,12:00,2025-09-18 11:00
BOE,2025-11-06,12:00,2025-11-06 12:00
BOE,2025-12-18,12:00,2025-12-18 12:00
BOE,2026-02-05,12:00,2026-02-05 12:00
BOE,2026-03-19,12:00,2026-03-19 12:00
BOE,2026-04-30,12:00,2026-04-30 11:00
BOE,2026-06-18,12:00,2026-06-18 11:00
BOE,2026-07-30,12:00,2026-07-30 11:00
BOE,2026-09-17,12:00,2026-09-17 11:00
BOJ,2016-01-29,12:00,2016-01-29 03:00
BOJ,2016-03-15,12:00,2016-03-15 03:00
BOJ,2016-04-28,12:00,2016-04-28 03:00
BOJ,2016-06-16,12:00,2016-06-16 03:00
BOJ,2016-07-29,12:00,2016-07-29 03:00
BOJ,2016-09-21,12:00,2016-09-21 03:00
BOJ,2016-11-01,12:00,2016-11-01 03:00
BOJ,2016-12-20,12:00,2016-12-20 03:00
BOJ,2017-01-31,12:00,2017-01-31 03:00
BOJ,2017-03-16,12:00,2017-03-16 03:00
BOJ,2017-04-27,12:00,2017-04-27 03:00
BOJ,2017-06-16,12:00,2017-06-16 03:00
BOJ,2017-07-20,12:00,2017-07-20 03:00
BOJ,2017-09-21,12:00,2017-09-21 03:00
BOJ,2017-10-31,12:00,2017-10-31 03:00
BOJ,2017-12-21,12:00,2017-12-21 03:00
BOJ,2018-01-23,12:00,2018-01-23 03:00
BOJ,2018-03-09,12:00,2018-03-09 03:00
BOJ,2018-04-27,12:00,2018-04-27 03:00
BOJ,2018-06-15,12:00,2018-06-15 03:00
BOJ,2018-07-31,12:00,2018-07-31 03:00
BOJ,2018-09-19,12:00,2018-09-19 03:00
BOJ,2018-10-31,12:00,2018-10-31 03:00
BOJ,2018-12-20,12:00,2018-12-20 03:00
BOJ,2019-01-23,12:00,2019-01-23 03:00
BOJ,2019-03-15,12:00,2019-03-15 03:00
BOJ,2019-04-25,12:00,2019-04-25 03:00
BOJ,2019-06-20,12:00,2019-06-20 03:00
BOJ,2019-07-30,12:00,2019-07-30 03:00
BOJ,2019-09-19,12:00,2019-09-19 03:00
BOJ,2019-10-31,12:00,2019-10-31 03:00
BOJ,2019-12-19,12:00,2019-12-19 03:00
BOJ,2020-01-21,12:00,2020-01-21 03:00
BOJ,2020-04-27,12:00,2020-04-27 03:00
BOJ,2020-06-16,12:00,2020-06-16 03:00
BOJ,2020-07-15,12:00,2020-07-15 03:00
BOJ,2020-09-17,12:00,2020-09-17 03:00
BOJ,2020-10-29,12:00,2020-10-29 03:00
BOJ,2020-12-18,12:00,2020-12-18 03:00
BOJ,2021-01-21,12:00,2021-01-21 03:00
BOJ,2021-03-19,12:00,2021-03-19 03:00
BOJ,2021-04-27,12:00,2021-04-27 03:00
BOJ,2021-06-18,12:00,2021-06-18 03:00
BOJ,2021-07-16,12:00,2021-07-16 03:00
BOJ,2021-09-22,12:00,2021-09-22 03:00
BOJ,2021-10-28,12:00,2021-10-28 03:00
BOJ,2021-12-17,12:00,2021-12-17 03:00
BOJ,2022-01-18,12:00,2022-01-18 03:00
BOJ,2022-03-18,12:00,2022-03-18 03:00
BOJ,2022-04-28,12:00,2022-04-28 03:00
BOJ,2022-06-17,12:00,2022-06-17 03:00
BOJ,2022-07-21,12:00,2022-07-21 03:00
BOJ,2022-09-22,12:00,2022-09-22 03:00
BOJ,2022-10-28,12:00,2022-10-28 03:00
BOJ,2022-12-20,12:00,2022-12-20 03:00
BOJ,2023-01-18,12:00,2023-01-18 03:00
BOJ,2023-03-10,12:00,2023-03-10 03:00
BOJ,2023-04-28,12:00,2023-04-28 03:00
BOJ,2023-06-16,12:00,2023-06-16 03:00
BOJ,2023-07-28,12:00,2023-07-28 03:00
BOJ,2023-09-22,12:00,2023-09-22 03:00
BOJ,2023-10-31,12:00,2023-10-31 03:00
BOJ,2023-12-19,12:00,2023-12-19 03:00
BOJ,2024-01-23,12:00,2024-01-23 03:00
BOJ,2024-03-19,12:00,2024-03-19 03:00
BOJ,2024-04-26,12:00,2024-04-26 03:00
BOJ,2024-06-14,12:00,2024-06-14 03:00
BOJ,2024-07-31,12:00,2024-07-31 03:00
BOJ,2024-09-20,12:00,2024-09-20 03:00
BOJ,2024-10-31,12:00,2024-10-31 03:00
BOJ,2024-12-19,12:00,2024-12-19 03:00
BOJ,2025-01-24,12:00,2025-01-24 03:00
BOJ,2025-03-19,12:00,2025-03-19 03:00
BOJ,2025-05-01,12:00,2025-05-01 03:00
BOJ,2025-06-17,12:00,2025-06-17 03:00
BOJ,2025-07-31,12:00,2025-07-31 03:00
BOJ,2025-09-19,12:00,2025-09-19 03:00
BOJ,2025-10-30,12:00,2025-10-30 03:00
BOJ,2025-12-19,12:00,2025-12-19 03:00
BOJ,2026-01-23,12:00,2026-01-23 03:00
BOJ,2026-03-19,12:00,2026-03-19 03:00
BOJ,2026-04-28,12:00,2026-04-28 03:00
BOJ,2026-06-16,12:00,2026-06-16 03:00
BOJ,2026-07-31,12:00,2026-07-31 03:00
BOJ,2026-09-18,12:00,2026-09-18 03:00
RBA,2016-02-02,14:30,2016-02-02 03:30
RBA,2016-03-01,14:30,2016-03-01 03:30
RBA,2016-04-05,14:30,2016-04-05 04:30
RBA,2016-05-03,14:30,2016-05-03 04:30
RBA,2016-06-07,14:30,2016-06-07 04:30
RBA,2016-07-05,14:30,2016-07-05 04:30
RBA,2016-08-02,14:30,2016-08-02 04:30
RBA,2016-09-06,14:30,2016-09-06 04:30
RBA,2016-10-04,14:30,2016-10-04 03:30
RBA,2016-11-01,14:30,2016-11-01 03:30
RBA,2016-12-06,14:30,2016-12-06 03:30
RBA,2017-02-07,14:30,2017-02-07 03:30
RBA,2017-03-07,14:30,2017-03-07 03:30
RBA,2017-04-04,14:30,2017-04-04 04:30
RBA,2017-05-02,14:30,2017-05-02 04:30
RBA,2017-06-06,14:30,2017-06-06 04:30
RBA,2017-07-04,14:30,2017-07-04 04:30
RBA,2017-08-01,14:30,2017-08-01 04:30
RBA,2017-09-05,14:30,2017-09-05 04:30
RBA,2017-10-03,14:30,2017-10-03 03:30
RBA,2017-11-07,14:30,2017-11-07 03:30
RBA,2017-12-05,14:30,2017-12-05 03:30
RBA,2018-02-06,14:30,2018-02-06 03:30
RBA,2018-03-06,14:30,2018-03-06 03:30
RBA,2018-04-03,14:30,2018-04-03 04:30
RBA,2018-05-01,14:30,2018-05-01 04:30
RBA,2018-06-05,14:30,2018-06-05 04:30
RBA,2018-07-03,14:30,2018-07-03 04:30
RBA,2018-08-07,14:30,2018-08-07 04:30
RBA,2018-09-04,14:30,2018-09-04 04:30
RBA,2018-10-02,14:30,2018-10-02 04:30
RBA,2018-11-06,14:30,2018-11-06 03:30
RBA,2018-12-04,14:30,2018-12-04 03:30
RBA,2019-02-05,14:30,2019-02-05 03:30
RBA,2019-03-05,14:30,2019-03-05 03:30
RBA,2019-04-02,14:30,2019-04-02 03:30
RBA,2019-05-07,14:30,2019-05-07 04:30
RBA,2019-06-04,14:30,2019-06-04 04:30
RBA,2019-07-02,14:30,2019-07-02 04:30
RBA,2019-08-06,14:30,2019-08-06 04:30
RBA,2019-09-03,14:30,2019-09-03 04:30
RBA,2019-10-01,14:30,2019-10-01 04:30
RBA,2019-11-05,14:30,2019-11-05 03:30
RBA,2019-12-03,14:30,2019-12-03 03:30
RBA,2020-02-04,14:30,2020-02-04 03:30
RBA,2020-03-03,14:30,2020-03-03 03:30
RBA,2020-04-07,14:30,2020-04-07 04:30
RBA,2020-05-05,14:30,2020-05-05 04:30
RBA,2020-06-02,14:30,2020-06-02 04:30
RBA,2020-07-07,14:30,2020-07-07 04:30
RBA,2020-08-04,14:30,2020-08-04 04:30
RBA,2020-09-01,14:30,2020-09-01 04:30
RBA,2020-10-06,14:30,2020-10-06 03:30
RBA,2020-11-03,14:30,2020-11-03 03:30
RBA,2020-12-01,14:30,2020-12-01 03:30
RBA,2021-02-02,14:30,2021-02-02 03:30
RBA,2021-03-02,14:30,2021-03-02 03:30
RBA,2021-04-06,14:30,2021-04-06 04:30
RBA,2021-05-04,14:30,2021-05-04 04:30
RBA,2021-06-01,14:30,2021-06-01 04:30
RBA,2021-07-06,14:30,2021-07-06 04:30
RBA,2021-08-03,14:30,2021-08-03 04:30
RBA,2021-09-07,14:30,2021-09-07 04:30
RBA,2021-10-05,14:30,2021-10-05 03:30
RBA,2021-11-02,14:30,2021-11-02 03:30
RBA,2021-12-07,14:30,2021-12-07 03:30
RBA,2022-02-01,14:30,2022-02-01 03:30
RBA,2022-03-01,14:30,2022-03-01 03:30
RBA,2022-04-05,14:30,2022-04-05 04:30
RBA,2022-05-03,14:30,2022-05-03 04:30
RBA,2022-06-07,14:30,2022-06-07 04:30
RBA,2022-07-05,14:30,2022-07-05 04:30
RBA,2022-08-02,14:30,2022-08-02 04:30
RBA,2022-09-06,14:30,2022-09-06 04:30
RBA,2022-10-04,14:30,2022-10-04 03:30
RBA,2022-11-01,14:30,2022-11-01 03:30
RBA,2022-12-06,14:30,2022-12-06 03:30
RBA,2023-02-07,14:30,2023-02-07 03:30
RBA,2023-03-07,14:30,2023-03-07 03:30
RBA,2023-04-04,14:30,2023-04-04 04:30
RBA,2023-05-02,14:30,2023-05-02 04:30
RBA,2023-06-06,14:30,2023-06-06 04:30
RBA,2023-07-04,14:30,2023-07-04 04:30
RBA,2023-08-01,14:30,2023-08-01 04:30
RBA,2023-09-05,14:30,2023-09-05 04:30
RBA,2023-10-03,14:30,2023-10-03 03:30
RBA,2023-11-07,14:30,2023-11-07 03:30
RBA,2023-12-05,14:30,2023-12-05 03:30
RBA,2024-02-06,14:30,2024-02-06 03:30
RBA,2024-03-19,14:30,2024-03-19 03:30
RBA,2024-05-07,14:30,2024-05-07 04:30
RBA,2024-06-18,14:30,2024-06-18 04:30
RBA,2024-08-06,14:30,2024-08-06 04:30
RBA,2024-09-24,14:30,2024-09-24 04:30
RBA,2024-11-05,14:30,2024-11-05 03:30
RBA,2024-12-10,14:30,2024-12-10 03:30
RBA,2025-02-18,14:30,2025-02-18 03:30
RBA,2025-04-01,14:30,2025-04-01 03:30
RBA,2025-05-20,14:30,2025-05-20 04:30
RBA,2025-07-08,14:30,2025-07-08 04:30
RBA,2025-08-12,14:30,2025-08-12 04:30
RBA,2025-09-30,14:30,2025-09-30 04:30
RBA,2025-11-04,14:30,2025-11-04 03:30
RBA,2025-12-09,14:30,2025-12-09 03:30
RBA,2026-02-03,14:30,2026-02-03 03:30
RBA,2026-03-17,14:30,2026-03-17 03:30
RBA,2026-05-05,14:30,2026-05-05 04:30
RBA,2026-06-16,14:30,2026-06-16 04:30
RBA,2026-08-11,14:30,2026-08-11 04:30
