date,ccy,rate
2019-10-01,GBP,0.75
2019-11-01,GBP,0.75
2019-12-01,GBP,0.75
2020-01-01,GBP,0.75
2020-02-01,GBP,0.75
2020-03-01,GBP,0.1
2020-04-01,GBP,0.1
2020-05-01,GBP,0.1
2020-06-01,GBP,0.1
2020-07-01,GBP,0.1
2020-08-01,GBP,0.1
2020-09-01,GBP,0.1
2020-10-01,GBP,0.1
2020-11-01,GBP,0.1
2020-12-01,GBP,0.1
2021-01-01,GBP,0.1
2021-02-01,GBP,0.1
2021-03-01,GBP,0.1
2021-04-01,GBP,0.1
2021-05-01,GBP,0.1
2021-06-01,GBP,0.1
2021-07-01,GBP,0.1
2021-08-01,GBP,0.1
2021-09-01,GBP,0.1
2021-10-01,GBP,0.1
2021-11-01,GBP,0.1
2021-12-01,GBP,0.25
2022-01-01,GBP,0.25
2022-02-01,GBP,0.5
2022-03-01,GBP,0.75
2022-04-01,GBP,0.75
2022-05-01,GBP,1.0
2022-06-01,GBP,1.25
2022-07-01,GBP,1.25
2022-08-01,GBP,1.75
2022-09-01,GBP,2.25
2022-10-01,GBP,2.25
2022-11-01,GBP,3.0
2022-12-01,GBP,3.5
2023-01-01,GBP,3.5
2023-02-01,GBP,4.0
2023-03-01,GBP,4.25
2023-04-01,GBP,4.25
2023-05-01,GBP,4.5
2023-06-01,GBP,5.0
2023-07-01,GBP,5.0
2023-08-01,GBP,5.25
2023-09-01,GBP,5.25
2023-10-01,GBP,5.25
2023-11-01,GBP,5.25
2023-12-01,GBP,5.25
2024-01-01,GBP,5.25
2024-02-01,GBP,5.25
2024-03-01,GBP,5.25
2024-04-01,GBP,5.25
2024-05-01,GBP,5.25
2024-06-01,GBP,5.25
2024-07-01,GBP,5.25
2024-08-01,GBP,5.0
2024-09-01,GBP,5.0
2024-10-01,GBP,5.0
2024-11-01,GBP,4.75
2024-12-01,GBP,4.75
2025-01-01,GBP,4.75
2025-02-01,GBP,4.5
2025-03-01,GBP,4.5
2025-04-01,GBP,4.5
2025-05-01,GBP,4.25
2025-06-01,GBP,4.25
2025-07-01,GBP,4.25
2025-08-01,GBP,4.0
2025-09-01,GBP,4.0
2025-10-01,GBP,4.0
2025-11-01,GBP,4.0
2025-12-01,GBP,3.75
2016-01-01,JPY,-0.1
2016-02-01,JPY,-0.1
2016-03-01,JPY,-0.1
2016-04-01,JPY,-0.1
2016-05-01,JPY,-0.1
2016-06-01,JPY,-0.1
2016-07-01,JPY,-0.1
2016-08-01,JPY,-0.1
2016-09-01,JPY,-0.1
2016-10-01,JPY,-0.1
2016-11-01,JPY,-0.1
2016-12-01,JPY,-0.1
2017-01-01,JPY,-0.1
2017-02-01,JPY,-0.1
2017-03-01,JPY,-0.1
2017-04-01,JPY,-0.1
2017-05-01,JPY,-0.1
2017-06-01,JPY,-0.1
2017-07-01,JPY,-0.1
2017-08-01,JPY,-0.1
2017-09-01,JPY,-0.1
2017-10-01,JPY,-0.1
2017-11-01,JPY,-0.1
2017-12-01,JPY,-0.1
2018-01-01,JPY,-0.1
2018-02-01,JPY,-0.1
2018-03-01,JPY,-0.1
2018-04-01,JPY,-0.1
2018-05-01,JPY,-0.1
2018-06-01,JPY,-0.1
2018-07-01,JPY,-0.1
2018-08-01,JPY,-0.1
2018-09-01,JPY,-0.1
2018-10-01,JPY,-0.1
2018-11-01,JPY,-0.1
2018-12-01,JPY,-0.1
2019-01-01,JPY,-0.1
2019-02-01,JPY,-0.1
2019-03-01,JPY,-0.1
2019-04-01,JPY,-0.1
2019-05-01,JPY,-0.1
2019-06-01,JPY,-0.1
2019-07-01,JPY,-0.1
2019-08-01,JPY,-0.1
2019-09-01,JPY,-0.1
2019-10-01,JPY,-0.1
2019-11-01,JPY,-0.1
2019-12-01,JPY,-0.1
2020-01-01,JPY,-0.1
2020-02-01,JPY,-0.1
2020-03-01,JPY,-0.1
2020-04-01,JPY,-0.1
2020-05-01,JPY,-0.1
2020-06-01,JPY,-0.1
2020-07-01,JPY,-0.1
2020-08-01,JPY,-0.1
2020-09-01,JPY,-0.1
2020-10-01,JPY,-0.1
2020-11-01,JPY,-0.1
2020-12-01,JPY,-0.1
2021-01-01,JPY,-0.1
2021-02-01,JPY,-0.1
2021-03-01,JPY,-0.1
2021-04-01,JPY,-0.1
2021-05-01,JPY,-0.1
2021-06-01,JPY,-0.1
2021-07-01,JPY,-0.1
2021-08-01,JPY,-0.1
2021-09-01,JPY,-0.1
2021-10-01,JPY,-0.1
2021-11-01,JPY,-0.1
2021-12-01,JPY,-0.1
2022-01-01,JPY,-0.1
2022-02-01,JPY,-0.1
2022-03-01,JPY,-0.1
2022-04-01,JPY,-0.1
2022-05-01,JPY,-0.1
2022-06-01,JPY,-0.1
2022-07-01,JPY,-0.1
2022-08-01,JPY,-0.1
2022-09-01,JPY,-0.1
2022-10-01,JPY,-0.1
2022-11-01,JPY,-0.1
2022-12-01,JPY,-0.1
2023-01-01,JPY,-0.1
2023-02-01,JPY,-0.1
2023-03-01,JPY,-0.1
2023-04-01,JPY,-0.1
2023-05-01,JPY,-0.1
2023-06-01,JPY,-0.1
2023-07-01,JPY,-0.1
2023-08-01,JPY,-0.1
2023-09-01,JPY,-0.1
2023-10-01,JPY,-0.1
2023-11-01,JPY,-0.1
2023-12-01,JPY,-0.1
2024-01-01,JPY,-0.1
2024-02-01,JPY,-0.1
2024-03-01,JPY,0.05
2024-04-01,JPY,0.05
2024-05-01,JPY,0.05
2024-06-01,JPY,0.05
2024-07-01,JPY,0.05
2024-08-01,JPY,0.25
2024-09-01,JPY,0.25
2024-10-01,JPY,0.25
2024-11-01,JPY,0.25
2024-12-01,JPY,0.25
2025-01-01,JPY,0.5
2025-02-01,JPY,0.5
2025-03-01,JPY,0.5
2025-04-01,JPY,0.5
2025-05-01,JPY,0.5
2025-06-01,JPY,0.5
2025-07-01,JPY,0.5
2025-08-01,JPY,0.5
2025-09-01,JPY,0.5
2025-10-01,JPY,0.5
2025-11-01,JPY,0.5
2025-12-01,JPY,0.75
2016-01-01,AUD,2.0
2016-02-01,AUD,2.0
2016-03-01,AUD,2.0
2016-04-01,AUD,2.0
2016-05-01,AUD,1.75
2016-06-01,AUD,1.75
2016-07-01,AUD,1.75
2016-08-01,AUD,1.5
2016-09-01,AUD,1.5
2016-10-01,AUD,1.5
2016-11-01,AUD,1.5
2016-12-01,AUD,1.5
2017-01-01,AUD,1.5
2017-02-01,AUD,1.5
2017-03-01,AUD,1.5
2017-04-01,AUD,1.5
2017-05-01,AUD,1.5
2017-06-01,AUD,1.5
2017-07-01,AUD,1.5
2017-08-01,AUD,1.5
2017-09-01,AUD,1.5
2017-10-01,AUD,1.5
2017-11-01,AUD,1.5
2017-12-01,AUD,1.5
2018-01-01,AUD,1.5
2018-02-01,AUD,1.5
2018-03-01,AUD,1.5
2018-04-01,AUD,1.5
2018-05-01,AUD,1.5
2018-06-01,AUD,1.5
2018-07-01,AUD,1.5
2018-08-01,AUD,1.5
2018-09-01,AUD,1.5
2018-10-01,AUD,1.5
2018-11-01,AUD,1.5
2018-12-01,AUD,1.5
2019-01-01,AUD,1.5
2019-02-01,AUD,1.5
2019-03-01,AUD,1.5
2019-04-01,AUD,1.5
2019-05-01,AUD,1.5
2019-06-01,AUD,1.25
2019-07-01,AUD,1.0
2019-08-01,AUD,1.0
2019-09-01,AUD,1.0
2019-10-01,AUD,0.75
2019-11-01,AUD,0.75
2019-12-01,AUD,0.75
2020-01-01,AUD,0.75
2020-02-01,AUD,0.75
2020-03-01,AUD,0.25
2020-04-01,AUD,0.25
2020-05-01,AUD,0.25
2020-06-01,AUD,0.25
2020-07-01,AUD,0.25
2020-08-01,AUD,0.25
2020-09-01,AUD,0.25
2020-10-01,AUD,0.25
2020-11-01,AUD,0.1
2020-12-01,AUD,0.1
2021-01-01,AUD,0.1
2021-02-01,AUD,0.1
2021-03-01,AUD,0.1
2021-04-01,AUD,0.1
2021-05-01,AUD,0.1
2021-06-01,AUD,0.1
2021-07-01,AUD,0.1
2021-08-01,AUD,0.1
2021-09-01,AUD,0.1
2021-10-01,AUD,0.1
2021-11-01,AUD,0.1
2021-12-01,AUD,0.1
2022-01-01,AUD,0.1
2022-02-01,AUD,0.1
2022-03-01,AUD,0.1
2022-04-01,AUD,0.1
2022-05-01,AUD,0.35
2022-06-01,AUD,0.85
2022-07-01,AUD,1.35
2022-08-01,AUD,1.85
2022-09-01,AUD,2.35
2022-10-01,AUD,2.6
2022-11-01,AUD,2.85
2022-12-01,AUD,3.1
2023-01-01,AUD,3.1
2023-02-01,AUD,3.35
2023-03-01,AUD,3.6
2023-04-01,AUD,3.6
2023-05-01,AUD,3.85
2023-06-01,AUD,4.1
2023-07-01,AUD,4.1
2023-08-01,AUD,4.1
2023-09-01,AUD,4.1
2023-10-01,AUD,4.1
2023-11-01,AUD,4.35
2023-12-01,AUD,4.35
2024-01-01,AUD,4.35
2024-02-01,AUD,4.35
2024-03-01,AUD,4.35
2024-04-01,AUD,4.35
2024-05-01,AUD,4.35
2024-06-01,AUD,4.35
2024-07-01,AUD,4.35
2024-08-01,AUD,4.35
2024-09-01,AUD,4.35
2024-10-01,AUD,4.35
2024-11-01,AUD,4.35
2024-12-01,AUD,4.35
2025-01-01,AUD,4.35
2025-02-01,AUD,4.1
2025-03-01,AUD,4.1
2025-04-01,AUD,4.1
2025-05-01,AUD,3.85
2025-06-01,AUD,3.85
2025-07-01,AUD,3.85
2025-08-01,AUD,3.6
2025-09-01,AUD,3.6
2025-10-01,AUD,3.6
2025-11-01,AUD,3.6
2025-12-01,AUD,3.6
2016-01-01,NZD,2.5
2016-02-01,NZD,2.5
2016-03-01,NZD,2.25
2016-04-01,NZD,2.25
2016-05-01,NZD,2.25
2016-06-01,NZD,2.25
2016-07-01,NZD,2.25
2016-08-01,NZD,2.0
2016-09-01,NZD,2.0
2016-10-01,NZD,2.0
2016-11-01,NZD,1.75
2016-12-01,NZD,1.75
2017-01-01,NZD,1.75
2017-02-01,NZD,1.75
2017-03-01,NZD,1.75
2017-04-01,NZD,1.75
2017-05-01,NZD,1.75
2017-06-01,NZD,1.75
2017-07-01,NZD,1.75
2017-08-01,NZD,1.75
2017-09-01,NZD,1.75
2017-10-01,NZD,1.75
2017-11-01,NZD,1.75
2017-12-01,NZD,1.75
2018-01-01,NZD,1.75
2018-02-01,NZD,1.75
2018-03-01,NZD,1.75
2018-04-01,NZD,1.75
2018-05-01,NZD,1.75
2018-06-01,NZD,1.75
2018-07-01,NZD,1.75
2018-08-01,NZD,1.75
2018-09-01,NZD,1.75
2018-10-01,NZD,1.75
2018-11-01,NZD,1.75
2018-12-01,NZD,1.75
2019-01-01,NZD,1.75
2019-02-01,NZD,1.75
2019-03-01,NZD,1.75
2019-04-01,NZD,1.75
2019-05-01,NZD,1.5
2019-06-01,NZD,1.5
2019-07-01,NZD,1.5
2019-08-01,NZD,1.0
2019-09-01,NZD,1.0
2019-10-01,NZD,1.0
2019-11-01,NZD,1.0
2019-12-01,NZD,1.0
2020-01-01,NZD,1.0
2020-02-01,NZD,1.0
2020-03-01,NZD,0.25
2020-04-01,NZD,0.25
2020-05-01,NZD,0.25
2020-06-01,NZD,0.25
2020-07-01,NZD,0.25
2020-08-01,NZD,0.25
2020-09-01,NZD,0.25
2020-10-01,NZD,0.25
2020-11-01,NZD,0.25
2020-12-01,NZD,0.25
2021-01-01,NZD,0.25
2021-02-01,NZD,0.25
2021-03-01,NZD,0.25
2021-04-01,NZD,0.25
2021-05-01,NZD,0.25
2021-06-01,NZD,0.25
2021-07-01,NZD,0.25
2021-08-01,NZD,0.25
2021-09-01,NZD,0.25
2021-10-01,NZD,0.5
2021-11-01,NZD,0.75
2021-12-01,NZD,0.75
2022-01-01,NZD,0.75
2022-02-01,NZD,1.0
2022-03-01,NZD,1.0
2022-04-01,NZD,1.5
2022-05-01,NZD,2.0
2022-06-01,NZD,2.0
2022-07-01,NZD,2.5
2022-08-01,NZD,3.0
2022-09-01,NZD,3.0
2022-10-01,NZD,3.5
2022-11-01,NZD,4.25
2022-12-01,NZD,4.25
2023-01-01,NZD,4.25
2023-02-01,NZD,4.75
2023-03-01,NZD,4.75
2023-04-01,NZD,5.25
2023-05-01,NZD,5.5
2023-06-01,NZD,5.5
2023-07-01,NZD,5.5
2023-08-01,NZD,5.5
2023-09-01,NZD,5.5
2023-10-01,NZD,5.5
2023-11-01,NZD,5.5
2023-12-01,NZD,5.5
2024-01-01,NZD,5.5
2024-02-01,NZD,5.5
2024-03-01,NZD,5.5
2024-04-01,NZD,5.5
2024-05-01,NZD,5.5
2024-06-01,NZD,5.5
2024-07-01,NZD,5.5
2024-08-01,NZD,5.25
2024-09-01,NZD,5.25
2024-10-01,NZD,4.75
2024-11-01,NZD,4.25
2024-12-01,NZD,4.25
2025-01-01,NZD,4.25
2025-02-01,NZD,3.75
2025-03-01,NZD,3.75
2025-04-01,NZD,3.5
2025-05-01,NZD,3.25
2025-06-01,NZD,3.25
2025-07-01,NZD,3.25
2025-08-01,NZD,3.0
2025-09-01,NZD,3.0
2025-10-01,NZD,2.5
2025-11-01,NZD,2.25
2025-12-01,NZD,2.25
2016-01-01,CAD,0.5
2016-02-01,CAD,0.5
2016-03-01,CAD,0.5
2016-04-01,CAD,0.5
2016-05-01,CAD,0.5
2016-06-01,CAD,0.5
2016-07-01,CAD,0.5
2016-08-01,CAD,0.5
2016-09-01,CAD,0.5
2016-10-01,CAD,0.5
2016-11-01,CAD,0.5
2016-12-01,CAD,0.5
2017-01-01,CAD,0.5
2017-02-01,CAD,0.5
2017-03-01,CAD,0.5
2017-04-01,CAD,0.5
2017-05-01,CAD,0.5
2017-06-01,CAD,0.5
2017-07-01,CAD,0.75
2017-08-01,CAD,0.75
2017-09-01,CAD,1.0
2017-10-01,CAD,1.0
2017-11-01,CAD,1.0
2017-12-01,CAD,1.0
2018-01-01,CAD,1.25
2018-02-01,CAD,1.25
2018-03-01,CAD,1.25
2018-04-01,CAD,1.25
2018-05-01,CAD,1.25
2018-06-01,CAD,1.25
2018-07-01,CAD,1.5
2018-08-01,CAD,1.5
2018-09-01,CAD,1.5
2018-10-01,CAD,1.75
2018-11-01,CAD,1.75
2018-12-01,CAD,1.75
2019-01-01,CAD,1.75
2019-02-01,CAD,1.75
2019-03-01,CAD,1.75
2019-04-01,CAD,1.75
2019-05-01,CAD,1.75
2019-06-01,CAD,1.75
2019-07-01,CAD,1.75
2019-08-01,CAD,1.75
2019-09-01,CAD,1.75
2019-10-01,CAD,1.75
2019-11-01,CAD,1.75
2019-12-01,CAD,1.75
2020-01-01,CAD,1.75
2020-02-01,CAD,1.75
2020-03-01,CAD,0.25
2020-04-01,CAD,0.25
2020-05-01,CAD,0.25
2020-06-01,CAD,0.25
2020-07-01,CAD,0.25
2020-08-01,CAD,0.25
2020-09-01,CAD,0.25
2020-10-01,CAD,0.25
2020-11-01,CAD,0.25
2020-12-01,CAD,0.25
2021-01-01,CAD,0.25
2021-02-01,CAD,0.25
2021-03-01,CAD,0.25
2021-04-01,CAD,0.25
2021-05-01,CAD,0.25
2021-06-01,CAD,0.25
2021-07-01,CAD,0.25
2021-08-01,CAD,0.25
2021-09-01,CAD,0.25
2021-10-01,CAD,0.25
2021-11-01,CAD,0.25
2021-12-01,CAD,0.25
2022-01-01,CAD,0.25
2022-02-01,CAD,0.25
2022-03-01,CAD,0.5
2022-04-01,CAD,1.0
2022-05-01,CAD,1.0
2022-06-01,CAD,1.5
2022-07-01,CAD,2.5
2022-08-01,CAD,2.5
2022-09-01,CAD,3.25
2022-10-01,CAD,3.75
2022-11-01,CAD,3.75
2022-12-01,CAD,4.25
2023-01-01,CAD,4.5
2023-02-01,CAD,4.5
2023-03-01,CAD,4.5
2023-04-01,CAD,4.5
2023-05-01,CAD,4.5
2023-06-01,CAD,4.75
2023-07-01,CAD,5.0
2023-08-01,CAD,5.0
2023-09-01,CAD,5.0
2023-10-01,CAD,5.0
2023-11-01,CAD,5.0
2023-12-01,CAD,5.0
2024-01-01,CAD,5.0
2024-02-01,CAD,5.0
2024-03-01,CAD,5.0
2024-04-01,CAD,5.0
2024-05-01,CAD,5.0
2024-06-01,CAD,4.75
2024-07-01,CAD,4.5
2024-08-01,CAD,4.5
2024-09-01,CAD,4.25
2024-10-01,CAD,3.75
2024-11-01,CAD,3.75
2024-12-01,CAD,3.25
2025-01-01,CAD,3.0
2025-02-01,CAD,3.0
2025-03-01,CAD,2.75
2025-04-01,CAD,2.75
2025-05-01,CAD,2.75
2025-06-01,CAD,2.75
2025-07-01,CAD,2.75
2025-08-01,CAD,2.75
2025-09-01,CAD,2.5
2025-10-01,CAD,2.25
2025-11-01,CAD,2.25
2025-12-01,CAD,2.25
2016-01-01,CHF,-0.75
2016-02-01,CHF,-0.75
2016-03-01,CHF,-0.75
2016-04-01,CHF,-0.75
2016-05-01,CHF,-0.75
2016-06-01,CHF,-0.75
2016-07-01,CHF,-0.75
2016-08-01,CHF,-0.75
2016-09-01,CHF,-0.75
2016-10-01,CHF,-0.75
2016-11-01,CHF,-0.75
2016-12-01,CHF,-0.75
2017-01-01,CHF,-0.75
2017-02-01,CHF,-0.75
2017-03-01,CHF,-0.75
2017-04-01,CHF,-0.75
2017-05-01,CHF,-0.75
2017-06-01,CHF,-0.75
2017-07-01,CHF,-0.75
2017-08-01,CHF,-0.75
2017-09-01,CHF,-0.75
2017-10-01,CHF,-0.75
2017-11-01,CHF,-0.75
2017-12-01,CHF,-0.75
2018-01-01,CHF,-0.75
2018-02-01,CHF,-0.75
2018-03-01,CHF,-0.75
2018-04-01,CHF,-0.75
2018-05-01,CHF,-0.75
2018-06-01,CHF,-0.75
2018-07-01,CHF,-0.75
2018-08-01,CHF,-0.75
2018-09-01,CHF,-0.75
2018-10-01,CHF,-0.75
2018-11-01,CHF,-0.75
2018-12-01,CHF,-0.75
2019-01-01,CHF,-0.75
2019-02-01,CHF,-0.75
2019-03-01,CHF,-0.75
2019-04-01,CHF,-0.75
2019-05-01,CHF,-0.75
2019-06-01,CHF,-0.75
2019-07-01,CHF,-0.75
2019-08-01,CHF,-0.75
2019-09-01,CHF,-0.75
2019-10-01,CHF,-0.75
2019-11-01,CHF,-0.75
2019-12-01,CHF,-0.75
2020-01-01,CHF,-0.75
2020-02-01,CHF,-0.75
2020-03-01,CHF,-0.75
2020-04-01,CHF,-0.75
2020-05-01,CHF,-0.75
2020-06-01,CHF,-0.75
2020-07-01,CHF,-0.75
2020-08-01,CHF,-0.75
2020-09-01,CHF,-0.75
2020-10-01,CHF,-0.75
2020-11-01,CHF,-0.75
2020-12-01,CHF,-0.75
2021-01-01,CHF,-0.75
2021-02-01,CHF,-0.75
2021-03-01,CHF,-0.75
2021-04-01,CHF,-0.75
2021-05-01,CHF,-0.75
2021-06-01,CHF,-0.75
2021-07-01,CHF,-0.75
2021-08-01,CHF,-0.75
2021-09-01,CHF,-0.75
2021-10-01,CHF,-0.75
2021-11-01,CHF,-0.75
2021-12-01,CHF,-0.75
2022-01-01,CHF,-0.75
2022-02-01,CHF,-0.75
2022-03-01,CHF,-0.75
2022-04-01,CHF,-0.75
2022-05-01,CHF,-0.75
2022-06-01,CHF,-0.25
2022-07-01,CHF,-0.25
2022-08-01,CHF,-0.25
2022-09-01,CHF,0.5
2022-10-01,CHF,0.5
2022-11-01,CHF,0.5
2022-12-01,CHF,1.0
2023-01-01,CHF,1.0
2023-02-01,CHF,1.0
2023-03-01,CHF,1.5
2023-04-01,CHF,1.5
